"ID","Country","Code","Subregion"
192,"Taiwan","TWN",""
193,"Tajikistan","TJK","Central Asia"
194,"Tanzania","TZA","Sub-Saharan Africa"
195,"Thailand","THA","South-eastern Asia"
196,"Timor-Leste","TLS","South-eastern Asia"
197,"Togo","TGO","Sub-Saharan Africa"
198,"Tonga","TON","Polynesia"
199,"Trinidad & Tobago","TTO","Latin America and the Caribbean"
200,"Tunisia","TUN","Northern Africa"
201,"Turkey","TUR","Western Asia"
202,"Turkmenistan","TKM","Central Asia"
203,"Turks & Caicos Islands","TCA","Latin America and the Caribbean"
204,"Tuvalu","TUV","Polynesia"
205,"U.S. Virgin Islands","VIR","Latin America and the Caribbean"
206,"Uganda","UGA","Sub-Saharan Africa"
207,"Ukraine","UKR","Eastern Europe"
208,"United Arab Emirates","ARE","Western Asia"
209,"United Kingdom","GBR","Northern Europe"
210,"United States","USA","Northern America"
211,"Uruguay","URY","Latin America and the Caribbean"
212,"Uzbekistan","UZB","Central Asia"
213,"Vanuatu","VUT","Melanesia"
214,"Venezuela","VEN","Latin America and the Caribbean"
215,"Vietnam","VNM","South-eastern Asia"
216,"Yemen","YEM","Western Asia"
217,"Zambia","ZMB","Sub-Saharan Africa"
218,"Zimbabwe","ZWE","Sub-Saharan Africa"
